scan_order,candidate_key,kWp,battery,NPV_COP,payback_years,capex_client,self_consumption_ratio,self_sufficiency_ratio,annual_import_kwh,annual_export_kwh,peak_ratio,best_battery_for_kwp
201,10.800::BAT-30,10.8,BAT-30,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
202,10.800::BAT-31,10.8,BAT-31,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
203,10.800::BAT-32,10.8,BAT-32,375625048.2574166,3.6666666666666665,56160000.0,0.7028983343016181,0.7028983343016181,7284.932842924325,0.0,1.1104456469103778,False
187,10.800::None,10.8,None,357899787.2146438,3.9166666666666665,56160000.0,0.6629700314337994,0.6629700314337993,8263.974829243241,1087.8244292432396,1.1104456469103778,False
205,11.400::BAT-5,11.4,BAT-5,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,True
206,11.400::BAT-10,11.4,BAT-10,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
207,11.400::BAT-15,11.4,BAT-15,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
208,11.400::BAT-20,11.4,BAT-20,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
209,11.400::BAT-21,11.4,BAT-21,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
210,11.400::BAT-22,11.4,BAT-22,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
211,11.400::BAT-23,11.4,BAT-23,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
212,11.400::BAT-24,11.4,BAT-24,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
213,11.400::BAT-25,11.4,BAT-25,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
214,11.400::BAT-26,11.4,BAT-26,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
215,11.400::BAT-27,11.4,BAT-27,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
216,11.400::BAT-28,11.4,BAT-28,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
217,11.400::BAT-29,11.4,BAT-29,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
218,11.400::BAT-30,11.4,BAT-30,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
219,11.400::BAT-31,11.4,BAT-31,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
220,11.400::BAT-32,11.4,BAT-32,396126385.0779579,3.6666666666666665,59280000.0,0.7408567838933813,0.7408567838933813,6354.191658934293,0.0,1.172137071738732,False
204,11.400::None,11.4,None,374604856.4547226,3.9166666666666665,59280000.0,0.6888871211524109,0.6888871211524108,7628.4877893428875,1415.8845893428863,1.172137071738732,False
223,12.000::BAT-10,12.0,BAT-10,416379681.1346378,3.75,62400000.0,0.7781637936914321,0.7781637936914318,5439.423778686091,0.0,1.2338284965670865,True
224,12.000::BAT-15,12.0,BAT-15,416379681.1346378,3.75,62400000.0,0.7781637936914321,0.7781637936914318,5439.423778686091,0.0,1.2338284965670865,False
225,12.000::BAT-20,12.0,BAT-20,416379681.1346378,3.75,62400000.0,0.7781637936914321,0.7781637936914318,5439.423778686091,0.0,1.2338284965670865,False
